State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Tuesday,9:30am - 10:00am,North Lakes Library,"10 The Corso, North Lakes QLD 4509",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Wednesday,9:30am - 10:00am,North Lakes Library,"10 The Corso, North Lakes QLD 4509",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Friday,9:30am - 10:00am,North Lakes Library,"10 The Corso, North Lakes QLD 4509",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Monday,11:00am - 11:30am,North Lakes Library,"10 The Corso, North Lakes QLD 4509",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Thursday,11:00am - 11:30am,North Lakes Library,"10 The Corso, North Lakes QLD 4509",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Sunday,11:00am - 11:30am,North Lakes Library,"10 The Corso, North Lakes QLD 4509",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Wednesday,10:30am - 11:00am,Albany Creek Library,"16 Ferguson Street, Albany Creek QLD 4035",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Saturday,10:30am - 11:00am,Albany Creek Library,"16 Ferguson Street, Albany Creek QLD 4035",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Tuesday,9:30am - 10:00am,Albany Creek Library,"16 Ferguson Street, Albany Creek QLD 4035",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Monday,10:30am - 11:00am,Woodford Library,"1 Elizabeth Street, Woodford QLD 4514",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Wednesday,10:30am - 11:00am,Woodford Library,"1 Elizabeth Street, Woodford QLD 4514",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Wednesday,9:30am - 10:00am,Strathpine Library,"1 Station Street, Strathpine QLD 4500",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Friday,9:30am - 10:00am,Strathpine Library,"1 Station Street, Strathpine QLD 4500",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Wednesday,11:00am - 11:30am,Mount Glorious Mobile Library Stop,"Mount Glorious Community Hall, 1874 Mount Glorious Road, Caboolture QLD 4510",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Tuesday,10:30am - 11:00am,Arana Hills Library,"63 Cobbity Crescent, Arana Hills QLD 4054",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Wednesday,10:30am - 11:00am,Arana Hills Library,"63 Cobbity Crescent, Arana Hills QLD 4054",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Thursday,10:30am - 11:00am,Arana Hills Library,"63 Cobbity Crescent, Arana Hills QLD 4054",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Monday,9:30am - 10:00am,Bribie Island Library,"1 Welsby Parade, Bongaree QLD 4507",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Wednesday,9:30am - 10:00am,Bribie Island Library,"1 Welsby Parade, Bongaree QLD 4507",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Friday,9:30am - 10:00am,Bribie Island Library,"1 Welsby Parade, Bongaree QLD 4507",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Tuesday,10:30am - 11:00am,Burpengary Library,"121 Station Road, Burpengary QLD 4505",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Wednesday,10:30am - 11:00am,Burpengary Library,"121 Station Road, Burpengary QLD 4505",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Saturday,10:30am - 11:00am,Burpengary Library,"121 Station Road, Burpengary QLD 4505",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Wednesday,10:00am - 10:30am,Caboolture Library,"4 Hasking Street, Caboolture QLD 4510",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Saturday,10:00am - 10:30am,Caboolture Library,"4 Hasking Street, Caboolture QLD 4510",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Tuesday,11:00am - 11:30am,Caboolture Library,"4 Hasking Street, Caboolture QLD 4510",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Thursday,11:00am - 11:30am,Caboolture Library,"4 Hasking Street, Caboolture QLD 4510",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Saturday,11:00am - 11:30am,Caboolture Library,"4 Hasking Street, Caboolture QLD 4510",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Tuesday,10:30am - 11:00am,Albany Creek Library,"16 Ferguson Street, Albany Creek QLD 4035",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Friday,10:30am - 11:00am,Albany Creek Library,"16 Ferguson Street, Albany Creek QLD 4035",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Saturday,11:00am - 11:30am,Deception Bay Library,"9 Bayview Terrace, Deception Bay, QLD 4508",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Tuesday,11:00am - 11:30am,Deception Bay Library,"9 Bayview Terrace, Deception Bay, QLD 4508",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Monday,09:30am - 10:00am,North Lakes Library,"10 The Corso, North Lakes, QLD 4509",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Thursday,09:30am - 10:00am,North Lakes Library,"10 The Corso, North Lakes, QLD 4509",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Wednesday,11:00am - 11:30am,North Lakes Library,"10 The Corso, North Lakes, QLD 4509",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Saturday,10:30am - 11:00am,North Lakes Library,"10 The Corso, North Lakes, QLD 4509",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Sunday,10:30am - 11:00am,North Lakes Library,"10 The Corso, North Lakes, QLD 4509",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Friday,10:30am - 11:00am,Redcliffe Library,"476 Oxley Avenue, Redcliffe, QLD 4020",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Tuesday,10:30am - 11:00am,Redcliffe Library,"476 Oxley Avenue, Redcliffe, QLD 4020",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Wednesday,10:30am - 11:00am,Redcliffe Library,"476 Oxley Avenue, Redcliffe, QLD 4020",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Saturday,09:30am - 10:00am,Strathpine Library,"1 Station Street, Strathpine, QLD 4500",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Thursday,09:30am - 10:00am,Strathpine Library,"1 Station Street, Strathpine, QLD 4500",
QLD,Moreton Bay Council,Storytime,books,"Storytime is a great way to develop a love of reading and introduce your child to books. Experience the magic of stories, action rhymes and songs with your child at the library.",2 - 5 years,Friday,10:30am - 11:00am,Woodford Library,"1 Elizabeth Street, Woodford, QLD 4514",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Thursday,09:30am - 10:00am,Pine Rivers Park,"125 Gympie Road, Strathpine, QLD 4500",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Thursday,10:30am - 11:00am,Pine Rivers Park,"125 Gympie Road, Strathpine, QLD 4500",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Thursday,09:30am - 10:00am,The Hills District All Abilities Park,"Olearia Street West, Arana Hills, QLD 4054",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Thursday,10:30am - 11:00am,The Hills District All Abilities Park,"Olearia Street West, Arana Hills, QLD 4054",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Tuesday,09:30am - 10:00am,CREEC All Abilities Playground,"150 Rowley Road, Burpengary, QLD 4505",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Tuesday,10:30am - 11:00am,CREEC All Abilities Playground,"150 Rowley Road, Burpengary, QLD 4505",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Tuesday,09:30am - 10:00am,CREEC All Abilities Playground,"150 Rowley Road, Burpengary, QLD 4505",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Tuesday,10:30am - 11:00am,CREEC All Abilities Playground,"150 Rowley Road, Burpengary, QLD 4505",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Monday,09:30am - 10:00am,Blatchford Recreation Reserve,"150 Rowley Road, Murrumba Downs, QLD 4503",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Monday,10:30am - 11:00am,Blatchford Recreation Reserve,"150 Rowley Road, Murrumba Downs, QLD 4503",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Saturday,09:30am - 10:00am,Brennan Park,"1 South Esplanade, Bongaree, QLD 4507",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Saturday,10:30am - 11:00am,Brennan Park,"1 South Esplanade, Bongaree, QLD 4507",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Sunday,09:30am - 10:00am,Brennan Park,"1 South Esplanade, Bongaree, QLD 4507",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Sunday,10:30am - 11:00am,Brennan Park,"1 South Esplanade, Bongaree, QLD 4507",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Sunday,09:30am - 10:00am,Central Lakes Park,"Joyner Circuit, Caboolture, QLD 4510",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Sunday,10:30am - 11:00am,Central Lakes Park,"Joyner Circuit, Caboolture, QLD 4510",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Sunday,09:30am - 10:00am,Central Lakes Park,"Joyner Circuit, Caboolture, QLD 4510",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Sunday,10:30am - 11:00am,Central Lakes Park,"Joyner Circuit, Caboolture, QLD 4510",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Tuesday,09:30am - 10:00am,Youth Park,"Suttons Beach, Marine Parade, Redcliffe, QLD 4020",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Tuesday,10:30am - 11:00am,Youth Park,"Suttons Beach, Marine Parade, Redcliffe, QLD 4020",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Tuesday,09:30am - 10:00am,Clayton Park,"Moreton Terrace, Beachmere, QLD 4510",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Tuesday,10:30am - 11:00am,Clayton Park,"Moreton Terrace, Beachmere, QLD 4510",
QLD,Moreton Bay Council,Play Tales,toddler_session,"We are bringing the fun and magic of our libraries to the great outdoors! Join us as we share stories, songs and playtime together in local parks. Our themed sessions have a mix of stories, rhymes, songs, felt board stories, puppets and early learning resources. Note: Outdoor sessions are dependent on weather and may be cancelled.",2 - 5 years,Monday,09:30am - 10:00am,Spinnaker Park,"39 Lakeview Promenade, Newport, QLD 4020",
