State,Council,Icon,What's On?,Suitible for,Short description,Where?,Address,Day,Time
VIC,City of Kingston,books,Preschool Storytime,3-5 years,"A lively and fun session with stories, songs, and rhymes designed to foster early literacy skills and creativity.",Dingley Village Library,"31-33 Marcus Road, Dingley Village VIC 3172",Thursday,11:00 am – 11:30 am
VIC,City of Kingston,books,Preschool Storytime,3-5 years,"A lively and fun session with stories, songs, and rhymes designed to foster early literacy skills and creativity.",Cheltenham Library,"12-14 Chesterville Road, Cheltenham VIC 3192",Friday,11:00 am – 11:30 am
VIC,City of Kingston,books,Preschool Storytime,3-5 years,"A lively and fun session with stories, songs, and rhymes designed to foster early literacy skills and creativity.",Patterson Lakes Library,"60-62 Thompson Road, Patterson Lakes VIC 3197",Friday,11:00 am – 11:30 am
VIC,City of Kingston,infant_session,Baby Time,0 - 1.5 years,"A nurturing and interactive 20-minute session for babies featuring songs, rhymes, and finger play to promote early literacy.",Chelsea Library,"1/151-157 Thames Promenade, Chelsea VIC 3196",Monday,11:30 am – 11:50 am
VIC,City of Kingston,infant_session,Baby Time,0 - 1.5 years,"A nurturing and interactive 20-minute session for babies featuring songs, rhymes, and finger play to promote early literacy.",Parkdale Library,"10-12 Parkdale Drive, Parkdale VIC 3195",Tuesday,11:30 am – 11:50 am
VIC,City of Kingston,infant_session,Baby Time,0 - 1.5 years,"A nurturing and interactive 20-minute session for babies featuring songs, rhymes, and finger play to promote early literacy.",Clarinda Library,"58-60 Viney Street, Clarinda VIC 3169",Wednesday,11:30 am – 11:50 am
VIC,City of Kingston,infant_session,Baby Time,0 - 1.5 years,"A nurturing and interactive 20-minute session for babies featuring songs, rhymes, and finger play to promote early literacy.",Dingley Village Library,"31-33 Marcus Road, Dingley Village VIC 3172",Thursday,11:30 am – 11:50 am
VIC,City of Kingston,infant_session,Baby Time,0 - 1.5 years,"A nurturing and interactive 20-minute session for babies featuring songs, rhymes, and finger play to promote early literacy.",Cheltenham Library,"12-14 Chesterville Road, Cheltenham VIC 3192",Friday,11:30 am – 11:50 am
VIC,City of Kingston,infant_session,Baby Time,0 - 1.5 years,"A nurturing and interactive 20-minute session for babies featuring songs, rhymes, and finger play to promote early literacy.",Patterson Lakes Library,"60-62 Thompson Road, Patterson Lakes VIC 3197",Friday,11:30 am – 11:50 am
VIC,Moonee Valley,infant_session,Baby Rhyme Time,0 - 1.5 years,"Introduces babies to the sounds, rhythm, and movement of language. Babies love songs and rhymes and delight in watching and listening.",Ascot Vale Library,"99 Rosehill Rd, Ascot Vale, VIC 3032",Monday,11:15 am – 11:45 am
VIC,Moonee Valley,infant_session,Baby Rhyme Time,0 - 1.5 years,"Introduces babies to the sounds, rhythm, and movement of language. Babies love songs and rhymes and delight in watching and listening.",Avondale Heights Library,"55 Gertrude St, Avondale Heights VIC 3034",Tuesday,11:15 am – 11:45 am
VIC,Moonee Valley,infant_session,Baby Rhyme Time,0 - 1.5 years,"Introduces babies to the sounds, rhythm, and movement of language. Babies love songs and rhymes and delight in watching and listening.",Flemington Library,"19A Napier St, Flemington VIC 3031",Thursday,11:15 am – 11:45 am
VIC,Moonee Valley,infant_session,Baby Rhyme Time,0 - 1.5 years,"Introduces babies to the sounds, rhythm, and movement of language. Babies love songs and rhymes and delight in watching and listening.",Niddrie Library,"52 McNab Ave, Niddrie VIC 3042",Friday,11:15 am – 11:45 am
VIC,Moonee Valley,infant_session,Baby Rhyme Time,0 - 1.5 years,"Introduces babies to the sounds, rhythm, and movement of language. Babies love songs and rhymes and delight in watching and listening.",Sam Merrifield Library,"38A St James Rd, Sam Merrifield VIC 3037",Wednesday,11:15 am – 11:45 am
VIC,Moonee Valley,toddler_session,Toddler Time,1.5 - 3 years,"Share stories, songs, rhymes, and movement with your active toddler. The perfect transition to Storytime.",Ascot Vale Library,"99 Rosehill Rd, Ascot Vale, VIC 3032",Monday,10:15 am – 10:45 am
VIC,Moonee Valley,toddler_session,Toddler Time,1.5 - 3 years,"Share stories, songs, rhymes, and movement with your active toddler. The perfect transition to Storytime.",Avondale Heights Library,"55 Gertrude St, Avondale Heights VIC 3034",Tuesday,10:15 am – 10:45 am
VIC,Moonee Valley,toddler_session,Toddler Time,1.5 - 3 years,"Share stories, songs, rhymes, and movement with your active toddler. The perfect transition to Storytime.",Flemington Library,"19A Napier St, Flemington VIC 3031",Thursday,10:15 am – 10:45 am
VIC,Moonee Valley,toddler_session,Toddler Time,1.5 - 3 years,"Share stories, songs, rhymes, and movement with your active toddler. The perfect transition to Storytime.",Niddrie Library,"52 McNab Ave, Niddrie VIC 3042",Friday,10:15 am – 10:45 am
VIC,Moonee Valley,toddler_session,Toddler Time,1.5 - 3 years,"Share stories, songs, rhymes, and movement with your active toddler. The perfect transition to Storytime.",Sam Merrifield Library,"38A St James Rd, Sam Merrifield VIC 3037",Wednesday,10:15 am – 10:45 am
VIC,Moonee Valley,books,Preschool Storytime,3-5 years,"Introduces children to a wide selection of picture books and stories with craft activities to develop listening, reading, and motor skills.",Ascot Vale Library,"99 Rosehill Rd, Ascot Vale, VIC 3032",Thursday,10:30 am – 11:00 am
VIC,Moonee Valley,books,Preschool Storytime,3-5 years,"Introduces children to a wide selection of picture books and stories with craft activities to develop listening, reading, and motor skills.",Avondale Heights Library,"55 Gertrude St, Avondale Heights VIC 3034",Wednesday,10:30 am – 11:00 am
VIC,Moonee Valley,books,Preschool Storytime,3-5 years,"Introduces children to a wide selection of picture books and stories with craft activities to develop listening, reading, and motor skills.",Flemington Library,"19A Napier St, Flemington VIC 3031",Friday,10:30 am – 11:00 am
VIC,Moonee Valley,books,Preschool Storytime,3-5 years,"Introduces children to a wide selection of picture books and stories with craft activities to develop listening, reading, and motor skills.",Niddrie Library,"52 McNab Ave, Niddrie VIC 3042",Tuesday,10:30 am – 11:00 am
VIC,Moonee Valley,books,Preschool Storytime,3-5 years,"Introduces children to a wide selection of picture books and stories with craft activities to develop listening, reading, and motor skills.",Sam Merrifield Library,"38A St James Rd, Sam Merrifield VIC 3037",Monday,10:30 am – 11:00 am
VIC,Moonee Valley,books,Saturday Storytime,1.5 - 5 years,"A weekend session of stories, rhymes, and songs for children of all ages to enjoy together.",Ascot Vale Library,"99 Rosehill Rd, Ascot Vale, VIC 3032",Saturday,10:30 am – 11:00 am
VIC,Moonee Valley,books,Saturday Storytime,1.5 - 5 years,"A weekend session of stories, rhymes, and songs for children of all ages to enjoy together.",Avondale Heights Library,"55 Gertrude St, Avondale Heights VIC 3034",Saturday,10:30 am – 11:00 am
VIC,Moonee Valley,books,Saturday Storytime,1.5 - 5 years,"A weekend session of stories, rhymes, and songs for children of all ages to enjoy together.",Flemington Library,"19A Napier St, Flemington VIC 3031",Saturday,10:30 am – 11:00 am
VIC,Moonee Valley,books,Saturday Storytime,1.5 - 5 years,"A weekend session of stories, rhymes, and songs for children of all ages to enjoy together.",Niddrie Library,"52 McNab Ave, Niddrie VIC 3042",Saturday,10:30 am – 11:00 am
VIC,Moonee Valley,books,Saturday Storytime,1.5 - 5 years,"A weekend session of stories, rhymes, and songs for children of all ages to enjoy together.",Sam Merrifield Library,"38A St James Rd, Sam Merrifield VIC 3037",Saturday,10:30 am – 11:00 am
VIC,City of Greater Dandenong,infant_session,Baby Bounce,0 - 1 years,"Songs, stories, and rhymes for parents, carers, and babies aged 0-23 months.",Dandenong Library,"225 Lonsdale Street, Dandenong VIC 3175",Wednesday,10:30am - 11:00am
VIC,City of Greater Dandenong,infant_session,Baby Bounce,0 - 1 years,"Songs, stories, and rhymes for parents, carers, and babies aged 0-23 months.",Springvale Library,"5 Hillcrest Grove, Springvale VIC 3171",Friday,10:30am - 11:00am
VIC,City of Greater Dandenong,toddler_session,Toddler Time,2 - 3 years,"Stories, songs, and rhymes for children aged 2-3 years.",Dandenong Library,"225 Lonsdale Street, Dandenong VIC 3175",Monday,10:30am - 11:00am
VIC,City of Greater Dandenong,toddler_session,Toddler Time,2 - 3 years,"Stories, songs, and rhymes for children aged 2-3 years.",Springvale Library,"5 Hillcrest Grove, Springvale VIC 3171",Monday,10:30am - 11:00am
VIC,City of Greater Dandenong,books,Storytime,3 - 5 years,"Storytelling, songs, and craft for children aged 3+ years.",Dandenong Library,"225 Lonsdale Street, Dandenong VIC 3175",Thursday,10:30am - 11:00am
VIC,City of Greater Dandenong,books,Storytime,3 - 5 years,"Storytelling, songs, and craft for children aged 3+ years.",Springvale Library,"5 Hillcrest Grove, Springvale VIC 3171",Thursday,10:30am - 11:00am
VIC,City of Greater Dandenong,lego,Family Fun,5 - 12 years,"Family Fun is an interactive program where primary school aged children and their families can learn to play different board games, create with LEGO ®, solve puzzles and more. This is a free activity and all families are welcome. Children must be accompanied by a parent or carer.",Springvale Library,"5 Hillcrest Grove, Springvale VIC 3171",Saturday,3:00pm - 4:00pm
VIC,City of Greater Dandenong,infant_session,Baby Bounce Outreach,0 - 1 years,"Baby Bounce Outreach is a 30-minute early literacy program designed to help very young children to explore language. Share songs, rhymes and stories whilst building your baby's literacy, confidence and motor skills. Please bring a blanket for your baby to lay on.",Keysborough Hall,"352 Cheltenham Rd, Keysborough VIC 3173",Friday,10:30am - 11:00am
VIC,City of Greater Dandenong,plant,Nature Play,0 - 6 years,"Come along to Alex Wilkie Nature Reserve for Nature Play, a weekly outdoor, child-led playgroup session facilitated by a qualified ranger. Nature play aims to encourage children and their families to get outdoors and explore nature. The sessions begin with a nature walk and participants will encounter a variety of birds, animals and insects. Families will also have the opportunity to visit the ‘Sense Trail’, where the children are encouraged to explore the sights, sounds, smells and textures of the Australian bush. Note: sessions willbe held every second week during winter.",Alex Wilkie Nature Reserve,"8 MacKay St, Springvale South VIC 3172",Tuesday,10:00am - 11:00am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Drysdale Library,"18-20 Hancock Street, Drysdale VIC 3222",Monday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Geelong Library & Heritage Centre,"51 Little Malop Street, Geelong VIC 3220",Monday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Lara Library,"5 Walkers Road, Lara VIC 3212",Tuesday,10:00am - 10:20am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Geelong Library & Heritage Centre,"51 Little Malop Street, Geelong VIC 3220",Tuesday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Leopold Library,"31-39 Kensington Road, Leopold VIC 3224",Tuesday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Torquay Library,"Surf Coast Highway and Beach Road, Torquay VIC 3228",Tuesday,10:45am - 11:05am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Geelong Library & Heritage Centre,"51 Little Malop Street, Geelong VIC 3220",Wednesday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Corio Library,"Cox Road, Norlane VIC 3214",Wednesday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Belmont Library,"163 High Street, Belmont VIC 3216",Wednesday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Geelong West Library,"153A Pakington Street, Geelong West VIC 3218",Wednesday,2:30pm - 2:50pm
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Waurn Ponds Library,"230 Pioneer Road, Grovedale VIC 3216",Wednesday,2:30pm - 2:50pm
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Armstrong Creek Library,"46-70 Central Boulevard, Armstrong Creek VIC 3217",Thursday,10:30am - 10:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Colac Library,"173 Queen Street, Colac VIC 3250",Thursday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Ocean Grove Library,"Presidents Avenue, Ocean Grove VIC 3226",Thursday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Waurn Ponds Library,"230 Pioneer Road, Grovedale VIC 3216",Thursday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Newcomb Library,"41-43 Wilsons Road, Newcomb VIC 3219",Thursday,11:30am - 11:50am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Torquay Library,"Surf Coast Highway and Beach Road, Torquay VIC 3228",Friday,10:45am - 11:05am
VIC,City of Greater Geelong,infant_session,Baby Time,0 - 2 years,Come along for a fun-filled session of songs and rhymes for babies. Sessions run all year except January.,Bannockburn Library,"25-27 High Street, Bannockburn VIC 3331",Friday,11:30am - 11:50am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Biyal-a Armstrong Creek Library,"20 Main Street, Armstrong Creek VIC 3217",Monday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Colac Community Library & Learning Centre,"173 Queen Street, Colac VIC 3250\",Monday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Geelong Library & Heritage Centre,"51 Little Malop Street, Geelong VIC 3220",Monday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Geelong West Library,"153A Pakington Street, Geelong West VIC 3218",Monday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Waurn Ponds Library,"230 Pioneer Road, Grovedale VIC 3216",Monday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Belmont Library,"163 High Street, Belmont VIC 3216",Tuesday,9:30am - 10:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Bannockburn Library,"25-27 High Street, Bannockburn VIC 3331",Tuesday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Newcomb Library,"Bellarine Hwy (cnr Wilsons Road), Newcomb VIC 3219",Tuesday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Belmont Library,"163 High Street, Belmont VIC 3216",Wednesday,9:30am - 10:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Ocean Grove Library,"Presidents Ave (cnr The Avenue), Ocean Grove VIC 3226",Wednesday,9:30am - 10:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Colac Community Library & Learning Centre,"173 Queen Street, Colac VIC 3250",Wednesday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Torquay Library,"Surf City Plaza, Torquay VIC 3228",Wednesday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Geelong Library & Heritage Centre,"51 Little Malop Street, Geelong VIC 3220",Wednesday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Apollo Bay Library,"6 Pengilley Ave, Apollo Bay VIC 3233",Wednesday,11:30am - 12:00pm
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Corio Library,"Cox Road, Norlane VIC 3214",Thursday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Geelong Library & Heritage Centre,"51 Little Malop Street, Geelong VIC 3220",Thursday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Geelong West Library,"153A Pakington Street, Geelong West VIC 3218",Thursday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Leopold Library,"31-39 Kensington Road, Leopold VIC 3224",Thursday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Torquay Library,"Surf City Plaza, Beach Road, Torquay VIC 3228",Thursday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Barwon Heads Library,"7 Geelong Road, Barwon Heads VIC 3227",Friday,9:30am - 10:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Boronggook Drysdale Library,"2-8 Wyndham Street, Drysdale VIC 3222",Friday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Waurn Ponds Library,"230 Pioneer Road, Grovedale VIC 3216",Friday,10:30am - 11:00am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Lara Library,"5 Walkers Road, Lara VIC 3212",Friday,10:00am - 10:30am
VIC,City of Greater Geelong,toddler_session,Toddler Time,1 - 3 years,"Dance, sing, and read along with your child at our action-packed Toddler Time program. Sessions run during school terms.",Geelong Library & Heritage Centre,"51 Little Malop Street, Geelong VIC 3220",Sunday,3:00pm - 3:30pm
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Torquay Library,"Surf City Plaza, Beach Road, Torquay VIC 3228",Monday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Ocean Grove Library,"Presidents Ave (cnr The Avenue), Ocean Grove VIC 3226",Monday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Leopold Library,"31-39 Kensington Road, Leopold VIC 3224",Monday,2:15pm - 3:00pm
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Belmont Library,"163 High Street, Belmont VIC 3216",Tuesday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Chilwell Library,"51 Russell Street, Newtown VIC 3220",Tuesday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Colac Community Library & Learning Centre,"173 Queen Street, Colac VIC 3250",Tuesday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Corio Library,"Cox Road (cnr Moa Street), Norlane VIC 3214",Tuesday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Boronggook Drysdale Library,"2-8 Wyndham Street, Drysdale VIC 3222",Tuesday,10:30am - 11:15am
